Company,Symbol,BalanceSheetURL,ProfitLossURL
Akash Infra-Projects Limited,AKASH,https://www.moneycontrol.com/financials/akashinfra-projectslimited/balance-sheetVI/AKASH#AKASH,https://www.moneycontrol.com/financials/akashinfra-projectslimited/profit-lossVI/AKASH#AKASH
AksharChem India Limited,AKSHARCHEM,https://www.moneycontrol.com/financials/aksharchemindialimited/balance-sheetVI/AKSHARCHEM#AKSHARCHEM,https://www.moneycontrol.com/financials/aksharchemindialimited/profit-lossVI/AKSHARCHEM#AKSHARCHEM
Aksh Optifibre Limited,AKSHOPTFBR,https://www.moneycontrol.com/financials/akshoptifibrelimited/balance-sheetVI/AKSHOPTFBR#AKSHOPTFBR,https://www.moneycontrol.com/financials/akshoptifibrelimited/profit-lossVI/AKSHOPTFBR#AKSHOPTFBR
Akzo Nobel India Limited,AKZOINDIA,https://www.moneycontrol.com/financials/akzonobelindialimited/balance-sheetVI/AKZOINDIA#AKZOINDIA,https://www.moneycontrol.com/financials/akzonobelindialimited/profit-lossVI/AKZOINDIA#AKZOINDIA
Alankit Limited,ALANKIT,https://www.moneycontrol.com/financials/alankitlimited/balance-sheetVI/ALANKIT#ALANKIT,https://www.moneycontrol.com/financials/alankitlimited/profit-lossVI/ALANKIT#ALANKIT
Albert David Limited,ALBERTDAVD,https://www.moneycontrol.com/financials/albertdavidlimited/balance-sheetVI/ALBERTDAVD#ALBERTDAVD,https://www.moneycontrol.com/financials/albertdavidlimited/profit-lossVI/ALBERTDAVD#ALBERTDAVD
Alchemist Limited,ALCHEM,https://www.moneycontrol.com/financials/alchemistlimited/balance-sheetVI/ALCHEM#ALCHEM,https://www.moneycontrol.com/financials/alchemistlimited/profit-lossVI/ALCHEM#ALCHEM
Alembic Limited,ALEMBICLTD,https://www.moneycontrol.com/financials/alembiclimited/balance-sheetVI/ALEMBICLTD#ALEMBICLTD,https://www.moneycontrol.com/financials/alembiclimited/profit-lossVI/ALEMBICLTD#ALEMBICLTD
Alicon Castalloy Limited,ALICON,https://www.moneycontrol.com/financials/aliconcastalloylimited/balance-sheetVI/ALICON#ALICON,https://www.moneycontrol.com/financials/aliconcastalloylimited/profit-lossVI/ALICON#ALICON
Alkali Metals Limited,ALKALI,https://www.moneycontrol.com/financials/alkalimetalslimited/balance-sheetVI/ALKALI#ALKALI,https://www.moneycontrol.com/financials/alkalimetalslimited/profit-lossVI/ALKALI#ALKALI
Alkem Laboratories Limited,ALKEM,https://www.moneycontrol.com/financials/alkemlaboratorieslimited/balance-sheetVI/ALKEM#ALKEM,https://www.moneycontrol.com/financials/alkemlaboratorieslimited/profit-lossVI/ALKEM#ALKEM
Alkyl Amines Chemicals Limited,ALKYLAMINE,https://www.moneycontrol.com/financials/alkylamineschemicalslimited/balance-sheetVI/ALKYLAMINE#ALKYLAMINE,https://www.moneycontrol.com/financials/alkylamineschemicalslimited/profit-lossVI/ALKYLAMINE#ALKYLAMINE
Allcargo Logistics Limited,ALLCARGO,https://www.moneycontrol.com/financials/allcargologisticslimited/balance-sheetVI/ALLCARGO#ALLCARGO,https://www.moneycontrol.com/financials/allcargologisticslimited/profit-lossVI/ALLCARGO#ALLCARGO
Allsec Technologies Limited,ALLSEC,https://www.moneycontrol.com/financials/allsectechnologieslimited/balance-sheetVI/ALLSEC#ALLSEC,https://www.moneycontrol.com/financials/allsectechnologieslimited/profit-lossVI/ALLSEC#ALLSEC
Almondz Global Securities Limited,ALMONDZ,https://www.moneycontrol.com/financials/almondzglobalsecuritieslimited/balance-sheetVI/ALMONDZ#ALMONDZ,https://www.moneycontrol.com/financials/almondzglobalsecuritieslimited/profit-lossVI/ALMONDZ#ALMONDZ
Alok Industries Limited,ALOKINDS,https://www.moneycontrol.com/financials/alokindustrieslimited/balance-sheetVI/ALOKINDS#ALOKINDS,https://www.moneycontrol.com/financials/alokindustrieslimited/profit-lossVI/ALOKINDS#ALOKINDS
Alpa Laboratories Limited,ALPA,https://www.moneycontrol.com/financials/alpalaboratorieslimited/balance-sheetVI/ALPA#ALPA,https://www.moneycontrol.com/financials/alpalaboratorieslimited/profit-lossVI/ALPA#ALPA
Alphageo (India) Limited,ALPHAGEO,https://www.moneycontrol.com/financials/alphageoindialimited/balance-sheetVI/ALPHAGEO#ALPHAGEO,https://www.moneycontrol.com/financials/alphageoindialimited/profit-lossVI/ALPHAGEO#ALPHAGEO
Alps Industries Limited,ALPSINDUS,https://www.moneycontrol.com/financials/alpsindustrieslimited/balance-sheetVI/ALPSINDUS#ALPSINDUS,https://www.moneycontrol.com/financials/alpsindustrieslimited/profit-lossVI/ALPSINDUS#ALPSINDUS
Amara Raja Batteries Limited,AMARAJABAT,https://www.moneycontrol.com/financials/amararajabatterieslimited/balance-sheetVI/AMARAJABAT#AMARAJABAT,https://www.moneycontrol.com/financials/amararajabatterieslimited/profit-lossVI/AMARAJABAT#AMARAJABAT
Amber Enterprises India Limited,AMBER,https://www.moneycontrol.com/financials/amberenterprisesindialimited/balance-sheetVI/AMBER#AMBER,https://www.moneycontrol.com/financials/amberenterprisesindialimited/profit-lossVI/AMBER#AMBER
Ambika Cotton Mills Limited,AMBIKCO,https://www.moneycontrol.com/financials/ambikacottonmillslimited/balance-sheetVI/AMBIKCO#AMBIKCO,https://www.moneycontrol.com/financials/ambikacottonmillslimited/profit-lossVI/AMBIKCO#AMBIKCO
Ambuja Cements Limited,AMBUJACEM,https://www.moneycontrol.com/financials/ambujacementslimited/balance-sheetVI/AMBUJACEM#AMBUJACEM,https://www.moneycontrol.com/financials/ambujacementslimited/profit-lossVI/AMBUJACEM#AMBUJACEM
AMD Industries Limited,AMDIND,https://www.moneycontrol.com/financials/amdindustrieslimited/balance-sheetVI/AMDIND#AMDIND,https://www.moneycontrol.com/financials/amdindustrieslimited/profit-lossVI/AMDIND#AMDIND
Amj Land Holdings Limited,AMJLAND,https://www.moneycontrol.com/financials/amjlandholdingslimited/balance-sheetVI/AMJLAND#AMJLAND,https://www.moneycontrol.com/financials/amjlandholdingslimited/profit-lossVI/AMJLAND#AMJLAND
Amrutanjan Health Care Limited,AMRUTANJAN,https://www.moneycontrol.com/financials/amrutanjanhealthcarelimited/balance-sheetVI/AMRUTANJAN#AMRUTANJAN,https://www.moneycontrol.com/financials/amrutanjanhealthcarelimited/profit-lossVI/AMRUTANJAN#AMRUTANJAN
Anant Raj Limited,ANANTRAJ,https://www.moneycontrol.com/financials/anantrajlimited/balance-sheetVI/ANANTRAJ#ANANTRAJ,https://www.moneycontrol.com/financials/anantrajlimited/profit-lossVI/ANANTRAJ#ANANTRAJ
Andhra Cements Limited,ANDHRACEMT,https://www.moneycontrol.com/financials/andhracementslimited/balance-sheetVI/ANDHRACEMT#ANDHRACEMT,https://www.moneycontrol.com/financials/andhracementslimited/profit-lossVI/ANDHRACEMT#ANDHRACEMT
ANDHRA PAPER LIMITED,ANDHRAPAP,https://www.moneycontrol.com/financials/andhrapaperlimited/balance-sheetVI/ANDHRAPAP#ANDHRAPAP,https://www.moneycontrol.com/financials/andhrapaperlimited/profit-lossVI/ANDHRAPAP#ANDHRAPAP
The Andhra Sugars Limited,ANDHRSUGAR,https://www.moneycontrol.com/financials/theandhrasugarslimited/balance-sheetVI/ANDHRSUGAR#ANDHRSUGAR,https://www.moneycontrol.com/financials/theandhrasugarslimited/profit-lossVI/ANDHRSUGAR#ANDHRSUGAR
Angel Broking Limited,ANGELBRKG,https://www.moneycontrol.com/financials/angelbrokinglimited/balance-sheetVI/ANGELBRKG#ANGELBRKG,https://www.moneycontrol.com/financials/angelbrokinglimited/profit-lossVI/ANGELBRKG#ANGELBRKG
Anik Industries Limited,ANIKINDS,https://www.moneycontrol.com/financials/anikindustrieslimited/balance-sheetVI/ANIKINDS#ANIKINDS,https://www.moneycontrol.com/financials/anikindustrieslimited/profit-lossVI/ANIKINDS#ANIKINDS
Ankit Metal & Power Limited,ANKITMETAL,https://www.moneycontrol.com/financials/ankitmetalpowerlimited/balance-sheetVI/ANKITMETAL#ANKITMETAL,https://www.moneycontrol.com/financials/ankitmetalpowerlimited/profit-lossVI/ANKITMETAL#ANKITMETAL
Ansal Properties & Infrastructure Limited,ANSALAPI,https://www.moneycontrol.com/financials/ansalpropertiesinfrastructurelimited/balance-sheetVI/ANSALAPI#ANSALAPI,https://www.moneycontrol.com/financials/ansalpropertiesinfrastructurelimited/profit-lossVI/ANSALAPI#ANSALAPI
Ansal Housing Limited,ANSALHSG,https://www.moneycontrol.com/financials/ansalhousinglimited/balance-sheetVI/ANSALHSG#ANSALHSG,https://www.moneycontrol.com/financials/ansalhousinglimited/profit-lossVI/ANSALHSG#ANSALHSG
The Anup Engineering Limited,ANUP,https://www.moneycontrol.com/financials/theanupengineeringlimited/balance-sheetVI/ANUP#ANUP,https://www.moneycontrol.com/financials/theanupengineeringlimited/profit-lossVI/ANUP#ANUP
